,Pokemon Number,Stat Total,HP,Attack,Defense,Speed,Sp.Def,Sp.Atk,First Type,Second Type,First Ability,Second Ability,Hidden Ability,Generation,Egg Group 1,Egg Group 2,Is Sub Legendary,Is Legendary,Is Mythical,Is Fully Evolved
Swalot,317,467,100,73,83,55,83,73,Poison,None,Liquid Ooze,Sticky Hold,Gluttony,3,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Carvanha,318,305,45,90,20,65,20,65,Water,Dark,Rough Skin,None,Speed Boost,3,Water 2,None,FALSE,FALSE,FALSE,FALSE
Sharpedo,319,460,70,120,40,95,40,95,Water,Dark,Rough Skin,None,Speed Boost,3,Water 2,None,FALSE,FALSE,FALSE,TRUE
Wailmer,320,400,130,70,35,60,35,70,Water,None,Water Veil,Oblivious,Pressure,3,Field,Water 2,FALSE,FALSE,FALSE,FALSE
Wailord,321,500,170,90,45,60,45,90,Water,None,Water Veil,Oblivious,Pressure,3,Field,Water 2,FALSE,FALSE,FALSE,TRUE
Numel,322,305,60,60,40,35,45,65,Fire,Ground,Oblivious,Simple,Own Tempo,3,Field,None,FALSE,FALSE,FALSE,FALSE
Camerupt,323,460,70,100,70,40,75,105,Fire,Ground,Magma Armor,Solid Rock,Anger Point,3,Field,None,FALSE,FALSE,FALSE,TRUE
Torkoal,324,470,70,85,140,20,70,85,Fire,None,White Smoke,Drought,Shell Armor,3,Field,None,FALSE,FALSE,FALSE,TRUE
Spoink,325,330,60,25,35,60,80,70,Psychic,None,Thick Fat,Own Tempo,Gluttony,3,Field,None,FALSE,FALSE,FALSE,FALSE
Grumpig,326,470,80,45,65,80,110,90,Psychic,None,Thick Fat,Own Tempo,Gluttony,3,Field,None,FALSE,FALSE,FALSE,TRUE
Spinda,327,360,60,60,60,60,60,60,Normal,None,Own Tempo,Tangled Feet,Contrary,3,Field,Human-Like,FALSE,FALSE,FALSE,TRUE
Trapinch,328,290,45,100,45,10,45,45,Ground,None,Hyper Cutter,Arena Trap,Sheer Force,3,Bug,Dragon,FALSE,FALSE,FALSE,FALSE
Vibrava,329,340,50,70,50,70,50,50,Ground,Dragon,Levitate,None,None,3,Bug,Dragon,FALSE,FALSE,FALSE,FALSE
Flygon,330,520,80,100,80,100,80,80,Ground,Dragon,Levitate,None,None,3,Bug,Dragon,FALSE,FALSE,FALSE,TRUE
Cacnea,331,335,50,85,40,35,40,85,Grass,None,Sand Veil,None,Water Absorb,3,Grass,Human-Like,FALSE,FALSE,FALSE,FALSE
Cacturne,332,475,70,115,60,55,60,115,Grass,Dark,Sand Veil,None,Water Absorb,3,Grass,Human-Like,FALSE,FALSE,FALSE,TRUE
Swablu,333,310,45,40,60,50,75,40,Normal,Flying,Natural Cure,None,Cloud Nine,3,Dragon,Flying,FALSE,FALSE,FALSE,FALSE
Altaria,334,490,75,70,90,80,105,70,Dragon,Flying,Natural Cure,None,Cloud Nine,3,Dragon,Flying,FALSE,FALSE,FALSE,TRUE
Zangoose,335,458,73,115,60,90,60,60,Normal,None,Immunity,None,Toxic Boost,3,Field,None,FALSE,FALSE,FALSE,TRUE
Seviper,336,458,73,100,60,65,60,100,Poison,None,Shed Skin,None,Infiltrator,3,Dragon,Field,FALSE,FALSE,FALSE,TRUE
Lunatone,337,460,90,55,65,70,85,95,Rock,Psychic,Levitate,None,None,3,Mineral,None,FALSE,FALSE,FALSE,TRUE
Solrock,338,460,90,95,85,70,65,55,Rock,Psychic,Levitate,None,None,3,Mineral,None,FALSE,FALSE,FALSE,TRUE
Barboach,339,288,50,48,43,60,41,46,Water,Ground,Oblivious,Anticipation,Hydration,3,Water 2,None,FALSE,FALSE,FALSE,FALSE
Whiscash,340,468,110,78,73,60,71,76,Water,Ground,Oblivious,Anticipation,Hydration,3,Water 2,None,FALSE,FALSE,FALSE,TRUE
Corphish,341,308,43,80,65,35,35,50,Water,None,Hyper Cutter,Shell Armor,Adaptability,3,Water 1,Water 3,FALSE,FALSE,FALSE,FALSE
Crawdaunt,342,468,63,120,85,55,55,90,Water,Dark,Hyper Cutter,Shell Armor,Adaptability,3,Water 1,Water 3,FALSE,FALSE,FALSE,TRUE
Baltoy,343,300,40,40,55,55,70,40,Ground,Psychic,Levitate,None,None,3,Mineral,None,FALSE,FALSE,FALSE,FALSE
Claydol,344,500,60,70,105,75,120,70,Ground,Psychic,Levitate,None,None,3,Mineral,None,FALSE,FALSE,FALSE,TRUE
Lileep,345,355,66,41,77,23,87,61,Rock,Grass,Suction Cups,None,Storm Drain,3,Water 3,None,FALSE,FALSE,FALSE,FALSE
Cradily,346,495,86,81,97,43,107,81,Rock,Grass,Suction Cups,None,Storm Drain,3,Water 3,None,FALSE,FALSE,FALSE,TRUE
Anorith,347,355,45,95,50,75,50,40,Rock,Bug,Battle Armor,None,Swift Swim,3,Water 3,None,FALSE,FALSE,FALSE,FALSE
Armaldo,348,495,75,125,100,45,80,70,Rock,Bug,Battle Armor,None,Swift Swim,3,Water 3,None,FALSE,FALSE,FALSE,TRUE
Feebas,349,200,20,15,20,80,55,10,Water,None,Swift Swim,Oblivious,Adaptability,3,Dragon,Water 1,FALSE,FALSE,FALSE,FALSE
Milotic,350,540,95,60,79,81,125,100,Water,None,Marvel Scale,Competitive,Cute Charm,3,Dragon,Water 1,FALSE,FALSE,FALSE,TRUE
Castform,351,420,70,70,70,70,70,70,Normal,None,Forecast,None,None,3,Amorphous,Fairy,FALSE,FALSE,FALSE,TRUE
Kecleon,352,440,60,90,70,40,120,60,Normal,None,Color Change,None,Protean,3,Field,None,FALSE,FALSE,FALSE,TRUE
Shuppet,353,295,44,75,35,45,33,63,Ghost,None,Insomnia,Frisk,Cursed Body,3,Amorphous,None,FALSE,FALSE,FALSE,FALSE
Banette,354,455,64,115,65,65,63,83,Ghost,None,Insomnia,Frisk,Cursed Body,3,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Duskull,355,295,20,40,90,25,90,30,Ghost,None,Levitate,None,Frisk,3,Amorphous,None,FALSE,FALSE,FALSE,FALSE
Dusclops,356,455,40,70,130,25,130,60,Ghost,None,Pressure,None,Frisk,3,Amorphous,None,FALSE,FALSE,FALSE,FALSE
Tropius,357,460,99,68,83,51,87,72,Grass,Flying,Chlorophyll,Solar Power,Harvest,3,Grass,Monster,FALSE,FALSE,FALSE,TRUE
Chimecho,358,455,75,50,80,65,90,95,Psychic,None,Levitate,None,None,3,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Absol,359,465,65,130,60,75,60,75,Dark,None,Pressure,Super Luck,Justified,3,Field,None,FALSE,FALSE,FALSE,TRUE
Wynaut,360,260,95,23,48,23,48,23,Psychic,None,Shadow Tag,None,Telepathy,3,Undiscovered,None,FALSE,FALSE,FALSE,FALSE
Snorunt,361,300,50,50,50,50,50,50,Ice,None,Inner Focus,Ice Body,Moody,3,Fairy,Mineral,FALSE,FALSE,FALSE,FALSE
Glalie,362,480,80,80,80,80,80,80,Ice,None,Inner Focus,Ice Body,Moody,3,Fairy,Mineral,FALSE,FALSE,FALSE,TRUE
Spheal,363,290,70,40,50,25,50,55,Ice,Water,Thick Fat,Ice Body,Oblivious,3,Field,Water 1,FALSE,FALSE,FALSE,FALSE
Sealeo,364,410,90,60,70,45,70,75,Ice,Water,Thick Fat,Ice Body,Oblivious,3,Field,Water 1,FALSE,FALSE,FALSE,FALSE
Walrein,365,530,110,80,90,65,90,95,Ice,Water,Thick Fat,Ice Body,Oblivious,3,Field,Water 1,FALSE,FALSE,FALSE,TRUE
Clamperl,366,345,35,64,85,32,55,74,Water,None,Shell Armor,None,Rattled,3,Water 1,None,FALSE,FALSE,FALSE,TRUE
Huntail,367,485,55,104,105,52,75,94,Water,None,Swift Swim,None,Water Veil,3,Water 1,None,FALSE,FALSE,FALSE,TRUE
Gorebyss,368,485,55,84,105,52,75,114,Water,None,Swift Swim,None,Hydration,3,Water 1,None,FALSE,FALSE,FALSE,TRUE
Relicanth,369,485,100,90,130,55,65,45,Water,Rock,Swift Swim,Rock Head,Sturdy,3,Water 1,Water 2,FALSE,FALSE,FALSE,TRUE
Luvdisc,370,330,43,30,55,97,65,40,Water,None,Swift Swim,None,Hydration,3,Water 2,None,FALSE,FALSE,FALSE,FALSE
Bagon,371,300,45,75,60,50,30,40,Dragon,None,Rock Head,None,Sheer Force,3,Dragon,None,FALSE,FALSE,FALSE,FALSE
Shelgon,372,420,65,95,100,50,50,60,Dragon,None,Rock Head,None,Overcoat,3,Dragon,None,FALSE,FALSE,FALSE,FALSE
Salamence,373,600,95,135,80,100,80,110,Dragon,Flying,Intimidate,None,Moxie,3,Dragon,None,FALSE,FALSE,FALSE,TRUE
Beldum,374,300,40,55,80,30,60,35,Steel,Psychic,Clear Body,None,Light Metal,3,Mineral,None,FALSE,FALSE,FALSE,FALSE
Metang,375,420,60,75,100,50,80,55,Steel,Psychic,Clear Body,None,Light Metal,3,Mineral,None,FALSE,FALSE,FALSE,FALSE
Metagross,376,600,80,135,130,70,90,95,Steel,Psychic,Clear Body,None,Light Metal,3,Mineral,None,FALSE,FALSE,FALSE,TRUE
Regirock,377,580,80,100,200,50,100,50,Rock,None,Clear Body,None,Sturdy,3,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Regice,378,580,80,50,100,50,200,100,Ice,None,Clear Body,None,Ice Body,3,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Registeel,379,580,80,75,150,50,150,75,Steel,None,Clear Body,None,Light Metal,3,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Latias,380,600,80,80,90,110,130,110,Dragon,Psychic,Levitate,None,None,3,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Latios,381,600,80,90,80,110,110,130,Dragon,Psychic,Levitate,None,None,3,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Kyogre,382,670,100,100,90,90,140,150,Water,None,Drizzle,None,None,3,Undiscovered,None,FALSE,TRUE,FALSE,TRUE
Groudon,383,670,100,150,140,90,90,100,Ground,None,Drought,None,None,3,Undiscovered,None,FALSE,TRUE,FALSE,TRUE
Rayquaza,384,680,105,150,90,95,90,150,Dragon,Flying,Air Lock,None,None,3,Undiscovered,None,FALSE,TRUE,FALSE,TRUE
Jirachi,385,600,100,100,100,100,100,100,Steel,Psychic,Serene Grace,None,None,3,Undiscovered,None,FALSE,FALSE,TRUE,TRUE
Deoxys,386,600,50,150,50,150,50,150,Psychic,None,Pressure,None,None,3,Undiscovered,None,FALSE,FALSE,TRUE,TRUE
Deoxys(Attack Forme),386,600,50,180,20,150,20,180,Psychic,None,Pressure,None,None,3,Undiscovered,None,FALSE,FALSE,TRUE,TRUE
Deoxys(Defense Forme),386,600,50,70,160,90,160,70,Psychic,None,Pressure,None,None,3,Undiscovered,None,FALSE,FALSE,TRUE,TRUE
Deoxys(Speed Forme),386,600,50,95,90,180,90,95,Psychic,None,Pressure,None,None,3,Undiscovered,None,FALSE,FALSE,TRUE,TRUE
Turtwig,387,318,55,68,64,31,55,45,Grass,None,Overgrow,None,Shell Armor,4,Grass,Monster,FALSE,FALSE,FALSE,FALSE
Grotle,388,405,75,89,85,36,65,55,Grass,None,Overgrow,None,Shell Armor,4,Grass,Monster,FALSE,FALSE,FALSE,FALSE
Torterra,389,525,95,109,105,56,85,75,Grass,Ground,Overgrow,None,Shell Armor,4,Grass,Monster,FALSE,FALSE,FALSE,TRUE
Chimchar,390,309,44,58,44,61,44,58,Fire,None,Blaze,None,Iron Fist,4,Field,Human-Like,FALSE,FALSE,FALSE,FALSE
Monferno,391,405,64,78,52,81,52,78,Fire,Fighting,Blaze,None,Iron Fist,4,Field,Human-Like,FALSE,FALSE,FALSE,FALSE
Infernape,392,534,76,104,71,108,71,104,Fire,Fighting,Blaze,None,Iron Fist,4,Field,Human-Like,FALSE,FALSE,FALSE,TRUE
Piplup,393,314,53,51,53,40,56,61,Water,None,Torrent,None,Defiant,4,Field,Water 1,FALSE,FALSE,FALSE,FALSE
Prinplup,394,405,64,66,68,50,76,81,Water,None,Torrent,None,Defiant,4,Field,Water 1,FALSE,FALSE,FALSE,FALSE
Empoleon,395,530,84,86,88,60,101,111,Water,Steel,Torrent,None,Defiant,4,Field,Water 1,FALSE,FALSE,FALSE,TRUE
Starly,396,245,40,55,30,60,30,30,Normal,Flying,Keen Eye,None,Reckless,4,Flying,None,FALSE,FALSE,FALSE,FALSE
Staravia,397,340,55,75,50,80,40,40,Normal,Flying,Intimidate,None,Reckless,4,Flying,None,FALSE,FALSE,FALSE,FALSE
Staraptor,398,485,85,120,70,100,60,50,Normal,Flying,Intimidate,None,Reckless,4,Flying,None,FALSE,FALSE,FALSE,TRUE
Bidoof,399,250,59,45,40,31,40,35,Normal,None,Simple,Unaware,Moody,4,Field,Water 1,FALSE,FALSE,FALSE,FALSE
Bibarel,400,410,79,85,60,71,60,55,Normal,Water,Simple,Unaware,Moody,4,Field,Water 1,FALSE,FALSE,FALSE,TRUE
Kricketot,401,194,37,25,41,25,41,25,Bug,None,Shed Skin,None,Run Away,4,Bug,None,FALSE,FALSE,FALSE,FALSE
Kricketune,402,384,77,85,51,65,51,55,Bug,None,Swarm,None,Technician,4,Bug,None,FALSE,FALSE,FALSE,FALSE
Shinx,403,263,45,65,34,45,34,40,Electric,None,Rivalry,Intimidate,Guts,4,Field,None,FALSE,FALSE,FALSE,FALSE
Luxio,404,363,60,85,49,60,49,60,Electric,None,Rivalry,Intimidate,Guts,4,Field,None,FALSE,FALSE,FALSE,FALSE
Luxray,405,523,80,120,79,70,79,95,Electric,None,Rivalry,Intimidate,Guts,4,Field,None,FALSE,FALSE,FALSE,TRUE
Budew,406,280,40,30,35,55,70,50,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,4,Undiscovered,None,FALSE,FALSE,FALSE,FALSE
Roserade,407,515,60,70,65,90,105,125,Grass,Poison,Natural Cure,Poison Point,Technician,4,Fairy,Grass,FALSE,FALSE,FALSE,TRUE
Cranidos,408,350,67,125,40,58,30,30,Rock,None,Mold Breaker,None,Sheer Force,4,Monster,None,FALSE,FALSE,FALSE,FALSE
Rampardos,409,495,97,165,60,58,50,65,Rock,None,Mold Breaker,None,Sheer Force,4,Monster,None,FALSE,FALSE,FALSE,TRUE
Shieldon,410,350,30,42,118,30,88,42,Rock,Steel,Sturdy,None,Soundproof,4,Monster,None,FALSE,FALSE,FALSE,FALSE
Bastiodon,411,495,60,52,168,30,138,47,Rock,Steel,Sturdy,None,Soundproof,4,Monster,None,FALSE,FALSE,FALSE,TRUE
Burmy,412,224,40,29,45,36,45,29,Bug,None,Shed Skin,None,Overcoat,4,Bug,None,FALSE,FALSE,FALSE,FALSE
Wormadam,413,424,60,59,85,36,105,79,Bug,Grass,Anticipation,None,Overcoat,4,Bug,None,FALSE,FALSE,FALSE,TRUE
Wormadam(Sandy Cloak),413,424,60,79,105,36,85,59,Bug,Ground,Anticipation,None,Overcoat,4,Bug,None,FALSE,FALSE,FALSE,TRUE
Wormadam(Trash Cloak),413,424,60,69,95,36,95,69,Bug,Steel,Anticipation,None,Overcoat,4,Bug,None,FALSE,FALSE,FALSE,TRUE
Mothim,414,424,70,94,50,66,50,94,Bug,Flying,Swarm,None,Tinted Lens,4,Bug,None,FALSE,FALSE,FALSE,TRUE
Combee,415,244,30,30,42,70,42,30,Bug,Flying,Honey Gather,None,Hustle,4,Bug,None,FALSE,FALSE,FALSE,FALSE
Vespiquen,416,474,70,80,102,40,102,80,Bug,Flying,Pressure,None,Unnerve,4,Bug,None,FALSE,FALSE,FALSE,TRUE
Pachirisu,417,405,60,45,70,95,90,45,Electric,None,Run Away,Pickup,Volt Absorb,4,Fairy,Field,FALSE,FALSE,FALSE,TRUE
Buizel,418,330,55,65,35,85,30,60,Water,None,Swift Swim,None,Water Veil,4,Field,Water 1,FALSE,FALSE,FALSE,FALSE
Floatzel,419,495,85,105,55,115,50,85,Water,None,Swift Swim,None,Water Veil,4,Field,Water 1,FALSE,FALSE,FALSE,TRUE
Cherubi,420,275,45,35,45,35,53,62,Grass,None,Chlorophyll,None,None,4,Fairy,Grass,FALSE,FALSE,FALSE,FALSE
Cherrim,421,450,70,60,70,85,78,87,Grass,None,Flower Gift,None,None,4,Fairy,Grass,FALSE,FALSE,FALSE,FALSE
Shellos,422,325,76,48,48,34,62,57,Water,None,Sticky Hold,Storm Drain,Sand Force,4,Amorphous,Water 1,FALSE,FALSE,FALSE,FALSE
Gastrodon,423,475,111,83,68,39,82,92,Water,Ground,Sticky Hold,Storm Drain,Sand Force,4,Amorphous,Water 1,FALSE,FALSE,FALSE,TRUE
Ambipom,424,482,75,100,66,115,66,60,Normal,None,Technician,Pickup,Skill Link,4,Field,None,FALSE,FALSE,FALSE,TRUE
Drifloon,425,348,90,50,34,70,44,60,Ghost,Flying,Aftermath,Unburden,Flare Boost,4,Amorphous,None,FALSE,FALSE,FALSE,FALSE
Drifblim,426,498,150,80,44,80,54,90,Ghost,Flying,Aftermath,Unburden,Flare Boost,4,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Buneary,427,350,55,66,44,85,56,44,Normal,None,Run Away,Klutz,Limber,4,Field,Human-Like,FALSE,FALSE,FALSE,FALSE
Lopunny,428,480,65,76,84,105,96,54,Normal,None,Cute Charm,Klutz,Limber,4,Field,Human-Like,FALSE,FALSE,FALSE,TRUE
Mismagius,429,495,60,60,60,105,105,105,Ghost,None,Levitate,None,None,4,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Honchkrow,430,505,100,125,52,71,52,105,Dark,Flying,Insomnia,Super Luck,Moxie,4,Flying,None,FALSE,FALSE,FALSE,TRUE
Glameow,431,310,49,55,42,85,37,42,Normal,None,Limber,Own Tempo,Keen Eye,4,Field,None,FALSE,FALSE,FALSE,FALSE
Purugly,432,452,71,82,64,112,59,64,Normal,None,Thick Fat,Own Tempo,Defiant,4,Field,None,FALSE,FALSE,FALSE,TRUE
Chingling,433,285,45,30,50,45,50,65,Psychic,None,Levitate,None,None,4,Undiscovered,None,FALSE,FALSE,FALSE,FALSE
Stunky,434,329,63,63,47,74,41,41,Poison,Dark,Stench,Aftermath,Keen Eye,4,Field,None,FALSE,FALSE,FALSE,FALSE
Skuntank,435,479,103,93,67,84,61,71,Poison,Dark,Stench,Aftermath,Keen Eye,4,Field,None,FALSE,FALSE,FALSE,TRUE
Bronzor,436,300,57,24,86,23,86,24,Steel,Psychic,Levitate,Heatproof,Heavy Metal,4,Mineral,None,FALSE,FALSE,FALSE,FALSE
Bronzong,437,500,67,89,116,33,116,79,Steel,Psychic,Levitate,Heatproof,Heavy Metal,4,Mineral,None,FALSE,FALSE,FALSE,TRUE
Bonsly,438,290,50,80,95,10,45,10,Rock,None,Sturdy,Rock Head,Rattled,4,Undiscovered,None,FALSE,FALSE,FALSE,FALSE
Mime Jr.,439,310,20,25,45,60,90,70,Psychic,Fairy,Soundproof,Filter,Technician,4,Undiscovered,None,FALSE,FALSE,FALSE,FALSE
Happiny,440,220,100,5,5,30,65,15,Normal,None,Natural Cure,Serene Grace,Friend Guard,4,Undiscovered,None,FALSE,FALSE,FALSE,FALSE
Chatot,441,411,76,65,45,91,42,92,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,4,Flying,None,FALSE,FALSE,FALSE,FALSE
Spiritomb,442,485,50,92,108,35,108,92,Ghost,Dark,Pressure,None,Infiltrator,4,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Gible,443,300,58,70,45,42,45,40,Dragon,Ground,Sand Veil,None,Rough Skin,4,Dragon,Monster,FALSE,FALSE,FALSE,FALSE
Gabite,444,410,68,90,65,82,55,50,Dragon,Ground,Sand Veil,None,Rough Skin,4,Dragon,Monster,FALSE,FALSE,FALSE,FALSE
Garchomp,445,600,108,130,95,102,85,80,Dragon,Ground,Sand Veil,None,Rough Skin,4,Dragon,Monster,FALSE,FALSE,FALSE,TRUE
Munchlax,446,390,135,85,40,5,85,40,Normal,None,Pickup,Thick Fat,Gluttony,4,Undiscovered,None,FALSE,FALSE,FALSE,FALSE
Riolu,447,285,40,70,40,60,40,35,Fighting,None,Steadfast,Inner Focus,Prankster,4,Undiscovered,None,FALSE,FALSE,FALSE,FALSE
Lucario,448,525,70,110,70,90,70,115,Fighting,Steel,Steadfast,Inner Focus,Justified,4,Field,Human-Like,FALSE,FALSE,FALSE,TRUE
Hippopotas,449,330,68,72,78,32,42,38,Ground,None,Sand Stream,None,Sand Force,4,Field,None,FALSE,FALSE,FALSE,FALSE
Hippowdon,450,525,108,112,118,47,72,68,Ground,None,Sand Stream,None,Sand Force,4,Field,None,FALSE,FALSE,FALSE,TRUE
Skorupi,451,330,40,50,90,65,55,30,Poison,Bug,Battle Armor,Sniper,Keen Eye,4,Bug,Water 3,FALSE,FALSE,FALSE,FALSE
Drapion,452,500,70,90,110,95,75,60,Poison,Dark,Battle Armor,Sniper,Keen Eye,4,Bug,Water 3,FALSE,FALSE,FALSE,TRUE
Croagunk,453,300,48,61,40,50,40,61,Poison,Fighting,Anticipation,Dry Skin,Poison Touch,4,Human-Like,None,FALSE,FALSE,FALSE,FALSE
Toxicroak,454,490,83,106,65,85,65,86,Poison,Fighting,Anticipation,Dry Skin,Poison Touch,4,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Carnivine,455,454,74,100,72,46,72,90,Grass,None,Levitate,None,None,4,Grass,None,FALSE,FALSE,FALSE,TRUE
Finneon,456,330,49,49,56,66,61,49,Water,None,Swift Swim,Storm Drain,Water Veil,4,Water 2,None,FALSE,FALSE,FALSE,FALSE
Lumineon,457,460,69,69,76,91,86,69,Water,None,Swift Swim,Storm Drain,Water Veil,4,Water 2,None,FALSE,FALSE,FALSE,TRUE
Mantyke,458,345,45,20,50,50,120,60,Water,Flying,Swift Swim,Water Absorb,Water Veil,4,Undiscovered,None,FALSE,FALSE,FALSE,FALSE
Snover,459,334,60,62,50,40,60,62,Grass,Ice,Snow Warning,None,Soundproof,4,Grass,Monster,FALSE,FALSE,FALSE,FALSE
Abomasnow,460,494,90,92,75,60,85,92,Grass,Ice,Snow Warning,None,Soundproof,4,Grass,Monster,FALSE,FALSE,FALSE,TRUE
Weavile,461,510,70,120,65,125,85,45,Dark,Ice,Pressure,None,Pickpocket,4,Field,None,FALSE,FALSE,FALSE,TRUE
Magnezone,462,535,70,70,115,60,90,130,Electric,Steel,Magnet Pull,Sturdy,Analytic,4,Mineral,None,FALSE,FALSE,FALSE,TRUE
Lickilicky,463,515,110,85,95,50,95,80,Normal,None,Own Tempo,Oblivious,Cloud Nine,4,Monster,None,FALSE,FALSE,FALSE,TRUE
Rhyperior,464,535,115,140,130,40,55,55,Ground,Rock,Lightning Rod,Solid Rock,Reckless,4,Field,Monster,FALSE,FALSE,FALSE,TRUE
Tangrowth,465,535,100,100,125,50,50,110,Grass,None,Chlorophyll,Leaf Guard,Regenerator,4,Grass,None,FALSE,FALSE,FALSE,TRUE
Electivire,466,540,75,123,67,95,85,95,Electric,None,Motor Drive,None,Vital Spirit,4,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Magmortar,467,540,75,95,67,83,95,125,Fire,None,Flame Body,None,Vital Spirit,4,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Togekiss,468,545,85,50,95,80,115,120,Fairy,Flying,Hustle,Serene Grace,Super Luck,4,Fairy,Flying,FALSE,FALSE,FALSE,TRUE
Yanmega,469,515,86,76,86,95,56,116,Bug,Flying,Speed Boost,Tinted Lens,Frisk,4,Bug,None,FALSE,FALSE,FALSE,TRUE
Leafeon,470,525,65,110,130,95,65,60,Grass,None,Leaf Guard,None,Chlorophyll,4,Field,None,FALSE,FALSE,FALSE,TRUE
Glaceon,471,525,65,60,110,65,95,130,Ice,None,Snow Cloak,None,Ice Body,4,Field,None,FALSE,FALSE,FALSE,TRUE
Gliscor,472,510,75,95,125,95,75,45,Ground,Flying,Hyper Cutter,Sand Veil,Poison Heal,4,Bug,None,FALSE,FALSE,FALSE,TRUE
Mamoswine,473,530,110,130,80,80,60,70,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,4,Field,None,FALSE,FALSE,FALSE,TRUE
Porygon-Z,474,535,85,80,70,90,75,135,Normal,None,Adaptability,Download,Analytic,4,Mineral,None,FALSE,FALSE,FALSE,TRUE
Gallade,475,518,68,125,65,80,115,65,Psychic,Fighting,Steadfast,Sharpness,Justified,4,Amorphous,Human-Like,FALSE,FALSE,FALSE,TRUE
Probopass,476,525,60,55,145,40,150,75,Rock,Steel,Sturdy,Magnet Pull,Sand Force,4,Mineral,None,FALSE,FALSE,FALSE,TRUE
Dusknoir,477,525,45,100,135,45,135,65,Ghost,None,Pressure,None,Frisk,4,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Froslass,478,480,70,80,70,110,70,80,Ice,Ghost,Snow Cloak,None,Cursed Body,4,Fairy,Mineral,FALSE,FALSE,FALSE,TRUE
Rotom(Heat Rotom),479,520,50,65,107,86,107,105,Electric,Fire,Levitate,None,None,4,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Rotom(Wash Rotom),479,520,50,65,107,86,107,105,Electric,Water,Levitate,None,None,4,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Rotom(Frost Rotom),479,520,50,65,107,86,107,105,Electric,Ice,Levitate,None,None,4,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Rotom(Fan Rotom),479,520,50,65,107,86,107,105,Electric,Flying,Levitate,None,None,4,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Rotom(Mow Rotom),479,520,50,65,107,86,107,105,Electric,Grass,Levitate,None,None,4,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Rotom,479,440,50,50,77,91,77,95,Electric,Ghost,Levitate,None,None,4,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Uxie,480,580,75,75,130,95,130,75,Psychic,None,Levitate,None,None,4,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Mesprit,481,580,80,105,105,80,105,105,Psychic,None,Levitate,None,None,4,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Azelf,482,580,75,125,70,115,70,125,Psychic,None,Levitate,None,None,4,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Dialga,483,680,100,120,120,90,100,150,Steel,Dragon,Pressure,None,Telepathy,4,Undiscovered,None,FALSE,TRUE,FALSE,TRUE
Dialga(Origin Forme),483,680,100,100,120,90,120,150,Steel,Dragon,Pressure,None,Telepathy,4,Undiscovered,None,FALSE,TRUE,FALSE,TRUE
Palkia,484,680,90,120,100,100,120,150,Water,Dragon,Pressure,None,Telepathy,4,Undiscovered,None,FALSE,TRUE,FALSE,TRUE
Palkia(Origin Forme),484,680,90,100,100,120,120,150,Water,Dragon,Pressure,None,Telepathy,4,Undiscovered,None,FALSE,TRUE,FALSE,TRUE
Heatran,485,600,91,90,106,77,106,130,Fire,Steel,Flash Fire,None,Flame Body,4,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Regigigas,486,670,110,160,110,100,110,80,Normal,None,Slow Start,None,None,4,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Giratina,487,680,150,100,120,90,120,100,Ghost,Dragon,Pressure,None,Telepathy,4,Undiscovered,None,FALSE,TRUE,FALSE,TRUE
Giratina(Origin Forme),487,680,150,120,100,90,100,120,Ghost,Dragon,Levitate,None,None,4,Undiscovered,None,FALSE,TRUE,FALSE,TRUE
Cresselia,488,580,120,70,110,85,120,75,Psychic,None,Levitate,None,None,4,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Phione,489,480,80,80,80,80,80,80,Water,None,Hydration,None,None,4,Fairy,Water 1,FALSE,FALSE,TRUE,TRUE
Manaphy,490,600,100,100,100,100,100,100,Water,None,Hydration,None,None,4,Fairy,Water 1,FALSE,FALSE,TRUE,TRUE
